midi	name	octave	chord_id	start	end
58	Bb3	3	3	0.8	1.26
62	D4	4	2	0.8	1.7
65	F4	4	1	0.8	1.7
70	Bb4	4	0	0.8	1.7
57	A3	3	4	1.26	1.7
55	G3	3	12	1.7	2.4
62	D4	4	9	1.7	2.08
67	G4	4	7	1.7	2.4
70	Bb4	4	5	1.7	2.4
63	Eb4	4	10	2.08	2.4
50	D3	3	13	2.4	2.94
65	F4	4	11	2.4	2.94
68	Ab4	4	8	2.4	2.94
70	Bb4	4	6	2.4	2.94
51	Eb3	3	21	2.94	3.6
63	Eb4	4	18	2.94	3.40222222222222
67	G4	4	16	2.94	3.6
70	Bb4	4	14	2.94	3.6
62	D4	4	19	3.40222222222222	3.6
52	E3	3	22	3.6	4.3
60	C4	4	20	3.6	4.3
67	G4	4	17	3.6	4.3
72	C5	5	15	3.6	4.3
53	F3	3	36	4.3	5
60	C4	4	32	4.3	5
67	G4	4	27	4.3	4.68
68	Ab4	4	23	4.3	5
65	F4	4	28	4.68	5.36
48	C3	3	37	5	5.86
58	Bb3	3	33	5	5.86
67	G4	4	24	5	5.86
64	E4	4	29	5.36	5.86
41	F2	2	38	5.86	6.48
57	A3	3	34	5.86	6.48
65	F4	4	25	5.86	6.48
65	F4	4	30	5.86	6.48
45	A2	2	39	6.48	7.22
60	C4	4	35	6.48	7.22
65	F4	4	31	6.48	7.22
72	C5	5	26	6.48	7.22
46	Bb2	2	54	7.22	7.94
58	Bb3	3	49	7.22	7.72
65	F4	4	45	7.22	7.94
74	D5	5	40	7.22	7.94
57	A3	3	50	7.72	7.94
48	C3	3	55	7.94	8.62
55	G3	3	51	7.94	8.62
64	E4	4	46	7.94	8.62
72	C5	5	41	7.94	8.62
50	D3	3	56	8.62	9.26
53	F3	3	52	8.62	9.26
65	F4	4	47	8.62	9.26
70	Bb4	4	42	8.62	9.26
52	E3	3	57	9.26	10.1
60	C4	4	48	9.26	10.1
60	C4	4	53	9.26	10.1
69	A4	4	43	9.26	9.6
67	G4	4	44	9.6	10.1
53	F3	3	68	10.1	10.64
60	C4	4	61	10.1	10.5
60	C4	4	65	10.1	10.64
69	A4	4	58	10.1	10.64
65	F4	4	62	10.5	11.02
48	C3	3	69	10.64	11.52
58	Bb3	3	66	10.64	11.52
67	G4	4	59	10.64	11.52
64	E4	4	63	11.02	11.52
41	F2	2	70	11.52	12.46
57	A3	3	67	11.52	12.46
60	C4	4	64	11.52	12.46
65	F4	4	60	11.52	12.46
50	D3	3	74	12.46	13.3
58	Bb3	3	73	12.46	13.3
65	F4	4	72	12.46	13.3
70	Bb4	4	71	12.46	13.3
51	Eb3	3	82	13.3	13.88
58	Bb3	3	79	13.3	13.64
67	G4	4	77	13.3	13.88
70	Bb4	4	75	13.3	13.88
60	C4	4	80	13.64	13.88
46	Bb2	2	83	13.88	14.56
62	D4	4	81	13.88	14.56
65	F4	4	78	13.88	14.56
70	Bb4	4	76	13.88	14.56
51	Eb3	3	21	14.56	15.18
63	Eb4	4	18	14.56	14.86
67	G4	4	16	14.56	15.18
70	Bb4	4	14	14.56	15.18
62	D4	4	19	14.86	15.18
52	E3	3	22	15.18	15.88
60	C4	4	20	15.18	15.88
67	G4	4	17	15.18	15.88
72	C5	5	15	15.18	15.88
53	F3	3	36	15.88	16.68
60	C4	4	32	15.88	16.68
67	G4	4	27	15.88	16.36
68	Ab4	4	23	15.88	16.68
65	F4	4	28	16.36	17
48	C3	3	37	16.68	17.46
58	Bb3	3	33	16.68	17.46
67	G4	4	24	16.68	17.46
64	E4	4	29	17	17.46
41	F2	2	38	17.46	18.22
57	A3	3	34	17.46	18.22
65	F4	4	25	17.46	18.22
65	F4	4	30	17.46	18.22
45	A2	2	39	18.22	19.12
60	C4	4	35	18.22	19.12
65	F4	4	31	18.22	19.12
72	C5	5	26	18.22	19.12
46	Bb2	2	54	19.12	19.9
58	Bb3	3	49	19.12	19.58
65	F4	4	45	19.12	19.9
74	D5	5	40	19.12	19.9
57	A3	3	50	19.58	19.9
48	C3	3	55	19.9	20.54
55	G3	3	51	19.9	20.54
64	E4	4	46	19.9	20.54
72	C5	5	41	19.9	20.54
50	D3	3	56	20.54	21.16
53	F3	3	52	20.54	21.16
65	F4	4	47	20.54	21.16
70	Bb4	4	42	20.54	21.16
52	E3	3	57	21.16	22
60	C4	4	48	21.16	22
60	C4	4	53	21.16	22
69	A4	4	43	21.16	21.5
67	G4	4	44	21.5	22
53	F3	3	68	22	22.64
60	C4	4	61	22	22.4621052631579
60	C4	4	65	22	22.64
69	A4	4	58	22	22.64
65	F4	4	62	22.4621052631579	23.04
48	C3	3	69	22.64	23.5
58	Bb3	3	66	22.64	23.5
67	G4	4	59	22.64	23.5
64	E4	4	63	23.04	23.5
41	F2	2	70	23.5	24.42
57	A3	3	67	23.5	24.42
60	C4	4	64	23.5	24.42
65	F4	4	60	23.5	24.42
50	D3	3	89	24.42	25.24
62	D4	4	87	24.42	24.88
70	Bb4	4	85	24.42	24.88
77	F5	5	84	24.42	25.24
60	C4	4	88	24.88	25.24
69	A4	4	86	24.88	25.24
55	G3	3	106	25.24	26.1
58	Bb3	3	100	25.24	25.66
67	G4	4	94	25.24	26.1
75	Eb5	5	90	25.24	26.1
60	C4	4	101	25.66	26.1
58	Bb3	3	107	26.1	26.7
62	D4	4	102	26.1	26.28
65	F4	4	95	26.1	26.28
74	D5	5	91	26.1	26.7
63	Eb4	4	103	26.28	26.7
67	G4	4	96	26.28	26.7
51	Eb3	3	108	26.7	27.34
65	F4	4	104	26.7	27.34
69	A4	4	97	26.7	27.34
72	C5	5	92	26.7	27.34
50	D3	3	109	27.34	28.038
65	F4	4	105	27.34	28.038
70	Bb4	4	98	27.34	27.7
70	Bb4	4	93	27.34	28.038
68	Ab4	4	99	27.7	28.038
51	Eb3	3	122	28.038	28.66
58	Bb3	3	119	28.038	29.4
67	G4	4	115	28.038	28.66
70	Bb4	4	110	28.038	28.36
72	C5	5	111	28.36	28.66
46	Bb2	2	123	28.66	29.4
65	F4	4	116	28.66	29.4
74	D5	5	112	28.66	29.4
53	F3	3	124	29.4	30.32
57	A3	3	120	29.4	30.32
65	F4	4	117	29.4	30.32
72	C5	5	113	29.4	30.32
50	D3	3	125	30.32	31.04
59	B3	3	121	30.32	31.04
65	F4	4	118	30.32	31.04
74	D5	5	114	30.32	31.04
48	C3	3	140	31.04	31.84
60	C4	4	136	31.04	32.02
63	Eb4	4	130	31.04	31.84
75	Eb5	5	126	31.04	31.84
53	F3	3	141	31.84	32.02
68	Ab4	4	131	31.84	32.02
74	D5	5	127	31.84	32.36
55	G3	3	142	32.02	32.36
59	B3	3	137	32.02	32.36
67	G4	4	132	32.02	32.36
56	Ab3	3	143	32.36	33.16
60	C4	4	138	32.36	33.16
67	G4	4	133	32.36	32.8
72	C5	5	128	32.36	33.16
65	F4	4	134	32.8	33.16
55	G3	3	144	33.16	33.92
62	D4	4	139	33.16	33.92
67	G4	4	135	33.16	33.92
71	B4	4	129	33.16	33.92
48	C3	3	151	33.92	36.4
63	Eb4	4	149	33.92	36.4
67	G4	4	147	33.92	36.4
72	C5	5	145	33.92	36.4
51	Eb3	3	152	36.4	37.08
57	A3	3	150	36.4	37.08
60	C4	4	148	36.4	37.08
65	F4	4	146	36.4	37.08
50	D3	3	168	37.08	37.78
58	Bb3	3	163	37.08	37.78
65	F4	4	157	37.08	37.78
70	Bb4	4	153	37.08	37.78
48	C3	3	169	37.78	38.44
51	Eb3	3	164	37.78	38.44
67	G4	4	158	37.78	38.1
72	C5	5	154	37.78	38.44
69	A4	4	159	38.1	38.44
46	Bb2	2	170	38.44	39.16
53	F3	3	165	38.44	38.6973333333333
70	Bb4	4	160	38.44	39.16
74	D5	5	155	38.44	39.16
65	F4	4	166	38.6973333333333	39.16
48	C3	3	171	39.16	39.84
63	Eb4	4	167	39.16	39.84
69	A4	4	161	39.16	39.36
75	Eb5	5	156	39.16	39.84
67	G4	4	162	39.36	39.84
50	D3	3	187	39.84	40.66
63	Eb4	4	181	39.84	40.16
65	F4	4	177	39.84	40.66
77	F5	5	172	39.84	40.66
62	D4	4	182	40.16	40.66
51	Eb3	3	188	40.66	41.42
60	C4	4	183	40.66	41.02
67	G4	4	178	40.66	41.42
75	Eb5	5	173	40.66	41.02
58	Bb3	3	184	41.02	41.42
74	D5	5	174	41.02	41.42
53	F3	3	189	41.42	42.38
65	F4	4	185	41.42	42.38
69	A4	4	179	41.42	42.38
72	C5	5	175	41.42	42.38
55	G3	3	190	42.38	43.26
58	Bb3	3	186	42.38	43.26
70	Bb4	4	180	42.38	43.26
75	Eb5	5	176	42.38	43.26
53	F3	3	206	43.26	44.2
58	Bb3	3	201	43.26	44.2
68	Ab4	4	196	43.26	44.2
74	D5	5	191	43.26	44.2
51	Eb3	3	207	44.2	45.74
58	Bb3	3	202	44.2	44.5
67	G4	4	197	44.2	44.74
72	C5	5	192	44.2	44.74
60	C4	4	203	44.5	44.74
57	A3	3	204	44.74	45.74
65	F4	4	198	44.74	45.74
77	F5	5	193	44.74	45.74
50	D3	3	208	45.74	46
58	Bb3	3	205	45.74	46.38
65	F4	4	199	45.74	46
70	Bb4	4	194	45.74	46
51	Eb3	3	209	46	46.38
67	G4	4	200	46	46.38
72	C5	5	195	46	46.38
53	F3	3	221	46.38	47.38
58	Bb3	3	218	46.38	47.38
65	F4	4	213	46.38	46.88
74	D5	5	210	46.38	47.38
63	Eb4	4	214	46.88	47.38
41	F2	2	222	47.38	48.56
57	A3	3	219	47.38	48.56
63	Eb4	4	215	47.38	48.06
72	C5	5	211	47.38	48.56
62	D4	4	216	48.06	48.56
46	Bb2	2	223	48.56	55.6599999999986
53	F3	3	220	48.56	55.6599999999986
62	D4	4	217	48.56	55.6599999999986
70	Bb4	4	212	48.56	55.6599999999986
